,Universidades,Sites
0,IFAC,https://portal.ifac.edu.br/
1,UFAC,http://www.ufac.br/
2,UNEAL,http://www.uneal.edu.br/
3,IFAL,http://www.ifal.edu.br/
4,UFAL,https://ufal.br/
5,UEAP,https://www.ueap.edu.br/
6,IFAP,http://www.ifap.edu.br/
7,UNIFAP,http://www.unifap.br/
8,UEA,https://www2.uea.edu.br/
9,IFAM,http://www2.ifam.edu.br/
10,UFAMINPA,https://ufam.edu.br/
11,UECE,https://www.gov.br/inpa/pt-br/
12,URCA,http://www.uece.br/
13,UVA,http://www.urca.br/
14,IFCE,http://ifce.edu.br/
15,UFC,http://www.ufc.br/
16,UNILAB,http://www.unilab.edu.br/
17,UFCA,http://www.ufca.edu.br/
18,ESCS,https://www.escs.edu.br/
19,IFB,http://www.ifb.edu.br/
20,UnB,https://unb.br/
21,ENAP,https://www.enap.gov.br/
22,FACELI,https://faceli.edu.br
23,IFES,https://www.ifes.edu.br/
24,UniRV,http://www.unirv.edu.br/
25,UEG,http://www.ueg.br/
26,IFG,http://www.ifg.edu.br/
27,UFG,http://www.ufg.br/
28,IF Goiano,http://www.ifgoiano.edu.br/
29,UEMA,http://www.uema.br/
30,UEMASUL,http://www.uemasul.edu.br/
31,IEMA,http://www.iema.ma.gov.br/
32,IFMA,http://www.ifma.edu.br/
33,UFMA,http://www.ufma.br/
34,UNEMAT,http://portal.unemat.br/
35,IFMT,http://www.ifmt.edu.br/
36,UFMT,http://www.ufmt.br/
37,UFR,http://ufr.edu.br/
38,UEMS,http://www.uems.br/
39,UFGD,http://www.ufgd.edu.br/
40,IFMS,http://ifms.edu.br/
41,UFMS,http://www.ufms.br/
42,UEMG,http://www.uemg.br/
43,USP,https://www5.usp.br/
44,UNICAMP,http://www.unicamp.br/
45,UNESP,http://www.unesp.br/
46,UNIVESP,https://univesp.br/
